label,area_filled,perimeter,axis_major_length,axis_minor_length,eccentricity,area,intensity_mean,intensity_max,intensity_min,extra_feature
1,53,28.89949494,12.17492212,5.93717858,0.873035649,53,71.75471698,102,40,2
2,75,34.86396103,15.28933696,6.448131318,0.906716616,75,50.33333333,80,36,4
3,72,35.89949494,15.13495243,6.63821746,0.89868151,72,46.36111111,85,30,6
4,94,35.3137085,12.04454769,10.24007599,0.526486445,94,70.72340426,99,37,8
5,80,37.89949494,17.38600434,6.125916517,0.935869213,80,80.6625,140,27,10
6,128,41.55634919,14.9437785,11.06951083,0.671787665,128,59.2578125,124,30,12
7,216,53.11269837,17.34186802,15.95482985,0.391876222,216,73.47685185,124,36,14
8,279,60.04163056,19.08828125,18.67440478,0.207109482,279,68.69892473,124,29,16
9,249,57.45584412,19.18823855,16.60034459,0.501545551,249,80.34939759,140,24,18
10,397,73.35533906,25.05609257,20.20902083,0.591164281,397,77.5440806,151,27,20
11,299,62.76955262,20.4734523,18.73132684,0.403662253,299,63.33779264,116,29,22
12,559,89.01219331,32.36729755,22.05281658,0.731976222,559,76.02146691,157,29,24
13,642,118.4680374,49.40611183,18.13455877,0.930200851,642,70.2165109,144,24,26
14,238,54.87005769,17.9807477,16.90112457,0.341293673,238,84.83193277,167,22,28
15,129,41.21320344,13.77751599,11.95691207,0.496814284,129,82.12403101,151,30,30
16,104,35.55634919,13.55767873,9.748235991,0.694989852,104,61.95192308,116,33,32
17,267,58.28427125,20.22788896,16.8516797,0.5531354,267,73.2247191,140,36,34
18,259,68.28427125,28.97448426,12.32858941,0.904959295,259,70.59073359,191,22,36
19,208,52.87005769,18.50491127,14.46158413,0.623905514,208,74.71634615,127,19,38
20,287,61.9411255,20.08871786,18.47502012,0.39268873,287,68.71080139,120,30,40
21,91,33.55634919,13.20965508,8.804378932,0.745495296,91,54.13186813,72,37,42
22,282,59.69848481,20.06332241,17.94718619,0.447013664,282,78.80496454,122,30,44
23,117,39.21320344,14.3957435,10.35865986,0.694426052,117,92.61538462,183,12,46
24,211,52.627417,17.50177786,15.64137381,0.448661055,211,58.82464455,113,37,48
25,232,55.45584412,20.33128766,14.60213251,0.695826493,232,73.52155172,128,36,50
26,310,64.28427125,22.66244206,17.45261057,0.637909125,310,75.90967742,147,26,52
27,277,60.28427125,21.64029579,16.31916267,0.656748173,277,82.49097473,147,28,54
28,268,59.9411255,19.8887409,17.53375713,0.472012018,268,77.10447761,159,24,56
29,233,55.69848481,18.63233716,15.95897124,0.516113672,233,63.09012876,117,33,58
30,255,59.11269837,19.02434802,17.81413101,0.350972177,255,76.08627451,173,26,60
31,283,62.87005769,22.55328892,16.06192628,0.702000275,283,74.59363958,110,29,62
32,104,39.3137085,16.24749286,8.511289719,0.851808993,104,77.82692308,117,29,64
33,313,65.9411255,21.52845139,18.74211222,0.49203733,313,63.24920128,130,33,66
34,541,86.18376618,30.25962442,22.89075282,0.654018656,541,81.87060998,146,26,68
35,282,60.28427125,20.64052276,17.4419559,0.534711627,282,82.44680851,156,28,70
36,255,58.52691193,20.19472714,16.19741011,0.597241652,255,75.6,157,33,72
37,285,60.87005769,20.97908306,17.45816847,0.554520244,285,71.67017544,151,29,74
38,250,57.69848481,19.99226703,15.94887868,0.602985186,250,69.616,141,26,76
39,289,66.18376618,22.48502316,16.85970123,0.661642822,289,79.6816609,165,27,78
40,290,61.11269837,20.91937874,17.6744385,0.534950302,290,67.94482759,128,28,80
41,216,58.73401872,20.61263297,13.69082302,0.747558706,216,62.77777778,124,30,82
42,533,91.84062043,34.02007729,20.35779172,0.801193608,533,74.15947467,163,30,84
43,276,59.69848481,20.01817934,17.65583452,0.47126807,276,68.70289855,143,34,86
44,209,58.87005769,23.93893021,11.7770796,0.870615832,209,71.10047847,136,26,88
45,254,56.87005769,20.03393714,16.19219028,0.588855887,254,73.9488189,124,33,90
46,188,52.14213562,19.7723684,12.69706706,0.766568812,188,74.57978723,110,33,92
47,249,57.11269837,20.13168379,15.8556291,0.616192255,249,72.34939759,153,34,94
48,240,56.28427125,19.87590109,15.46657509,0.628069588,240,71.22083333,110,33,96
49,328,67.9411255,21.91615749,19.61090142,0.446437597,328,68.88719512,129,26,98
50,299,67.35533906,20.99094858,18.56435258,0.466733551,299,68.82943144,146,26,100
51,254,58.04163056,19.51585642,16.60809964,0.525156901,254,81.22047244,171,36,102
52,44,26.27817459,11.33401934,5.28551794,0.884605036,44,71.59090909,101,29,104
53,487,81.01219331,28.48124102,21.87976886,0.640189732,487,84.62422998,151,33,106
54,268,59.69848481,20.2303936,16.9733929,0.544124355,268,76.55223881,147,28,108
55,599,120.9116882,33.95556785,27.70430123,0.578194975,599,64.75125209,126,29,110
56,405,75.9411255,24.38746173,21.32949837,0.484828577,405,67.51851852,161,27,112
57,290,69.9766594,21.50114659,18.63068074,0.499182141,290,55.38275862,86,30,114
58,323,69.87005769,23.13814269,18.19902904,0.617541849,323,63.11455108,120,26,116
59,252,59.11269837,21.58307622,15.09683189,0.71465663,252,71.75396825,153,24,118
60,313,86.42640687,29.59646403,16.03315584,0.840555536,313,57.33865815,99,30,120
61,234,54.87005769,18.97115921,15.74377087,0.557943075,234,73.91452991,147,29,122
62,352,73.69848481,23.64011047,19.48866701,0.566022423,352,79.8125,147,27,124
63,206,52.627417,18.72917074,14.08900613,0.658878552,206,70.95631068,139,33,126
64,325,68.42640687,22.86086904,18.69001517,0.575850683,325,77.25538462,159,26,128
65,177,48.97056275,17.38127951,13.32716387,0.641941162,177,82.72316384,153,24,130
66,414,83.84062043,30.23051503,18.20854581,0.798252186,414,68.16425121,133,33,132
67,245,56.87005769,18.95511147,16.58465067,0.484225108,245,78.29795918,151,28,134
68,251,57.45584412,20.3797356,15.73344979,0.635605013,251,71.13944223,116,28,136
69,10,10.41421356,6,1.959591794,0.945163125,10,62.7,93,37,138
70,449,81.35533906,30.00916303,19.30976417,0.765477829,449,66.22048998,139,29,140
71,288,68.18376618,24.72539338,15.11508142,0.791384948,288,67.70486111,156,29,142
72,270,61.11269837,20.2616241,17.09842176,0.536528669,270,64.03333333,137,27,144
73,254,58.28427125,19.70694194,16.63953755,0.535793519,254,59.30314961,97,34,146
74,254,58.52691193,21.02364908,15.70124086,0.66500704,254,61.86614173,129,33,148
75,226,54.52691193,17.93334151,16.19956671,0.428964914,226,75.03982301,190,26,150
76,97,40.52081528,17.41426394,7.508345566,0.902275171,97,67.6185567,139,30,152
77,248,56.87005769,19.02694083,16.63032213,0.485852572,248,85.56451613,172,33,154
78,310,64.76955262,22.12644333,18.04111,0.57894836,310,67.83225806,108,33,156
79,145,43.45584412,15.89110566,11.64070679,0.680735078,145,58.54482759,130,28,158
80,227,57.55634919,19.66669041,15.29790456,0.628439317,227,69.93832599,137,33,160
81,283,61.11269837,20.2181852,17.86850364,0.467895581,283,87.92579505,174,19,162
82,522,83.9411255,26.67973788,25.12575995,0.336301489,522,83.5862069,218,30,164
83,225,54.87005769,19.84236116,14.46289189,0.684631187,225,69.61777778,175,33,166
84,276,60.52691193,20.14573941,17.6311973,0.483793037,276,86.11956522,151,29,168
85,269,59.11269837,19.56140353,17.61472583,0.434889678,269,78.28252788,161,27,170
86,269,59.45584412,19.18392536,18.13847877,0.32561039,269,70.31226766,120,34,172
87,509,82.76955262,27.00853475,24.18795148,0.44492675,509,91.43811395,226,30,174
88,398,87.32590181,30.48956031,17.87793951,0.810048664,398,63.97487437,120,29,176
89,134,41.21320344,15.05278527,11.34620839,0.657148205,134,62.64179104,107,33,178
90,55,34.48528137,16.66462837,4.35725812,0.96521229,55,80.03636364,143,24,180
91,280,62.28427125,22.19125294,16.20270597,0.683298322,280,86.89642857,197,26,182
92,289,63.9411255,23.74785794,15.70702909,0.750026087,289,76.00692042,133,24,184
93,233,54.04163056,18.25875262,16.34421209,0.44577718,233,76.55364807,133,29,186
94,271,58.52691193,19.66229867,17.69789306,0.435698277,271,74.59409594,120,33,188
95,438,90.32590181,34.19743293,17.43427132,0.860285672,438,79.53424658,163,26,190
96,576,101.2903679,38.05174417,19.98204607,0.851023099,576,81.77604167,199,30,192
97,525,94.91168825,33.20380228,21.3900393,0.764853283,525,63.84380952,124,27,194
98,301,62.28427125,20.79579664,18.47514974,0.459054929,301,86.24916944,193,26,196
99,627,102.4974747,37.87075647,21.87613658,0.816282798,627,71.93620415,128,28,198
100,538,85.49747468,29.80466561,23.07695145,0.63285159,538,90.16356877,224,24,200
101,248,56.627417,18.91533314,16.77275042,0.462292042,248,85.17741935,203,26,202
102,36,21.07106781,8.7815838,5.258252377,0.800912218,36,45.63888889,61,29,204
103,311,64.28427125,20.6517795,19.4053343,0.342151889,311,74.98713826,161,27,206
104,99,34.38477631,11.76448535,10.75517621,0.405247272,99,75.17171717,146,36,208
105,284,61.69848481,20.70925439,17.61412816,0.525904197,284,73.68661972,130,30,210
106,343,89.49747468,28.92322796,17.26135305,0.802390786,343,76.6180758,151,26,212
107,280,61.9411255,23.06578159,15.49877301,0.740607486,280,74.45714286,120,26,214
108,275,60.28427125,21.3658691,16.49465132,0.635611139,275,75.44727273,136,30,216
109,292,68.52691193,25.69763499,15.48170406,0.798151812,292,59.13013699,100,30,218
110,304,65.69848481,22.48175928,17.89301078,0.605441053,304,75.8125,120,29,220
111,235,57.69848481,19.13892966,16.08820765,0.54165449,235,73.14468085,149,33,222
112,269,59.11269837,19.53500306,17.63467359,0.430224719,269,70.04460967,114,26,224
113,6,4,6.831300511,0,1,6,53,59,49,226
114,296,65.01219331,23.26740823,16.75145602,0.694022124,296,63.10472973,90,33,228
115,239,57.11269837,18.32746725,16.92532771,0.383610021,239,73.30543933,120,28,230
116,221,52.627417,17.9190201,15.70142575,0.481868492,221,76.93665158,126,29,232
